Designator,Footprint,Quantity,Value,LCSC Part #
R26,R_0805_2012Metric,1,680,
J1,SMA_Amphenol_132134_Vertical,1,Conn_Coaxial,
C57,C_0805_2012Metric,1,560pF C0G,
JP8,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,sjp,
C72,CP_EIA-3528-12_Kemet-T,1,tant 10uF,
R35,R_0805_2012Metric,1,390,
JP5,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,sjp,
C23,CP_EIA-3528-12_Kemet-T,1,tant 10uF,
R36,R_0805_2012Metric,1,1k,
R10,R_0805_2012Metric,1,150,
J5,SMA_Amphenol_132134_Vertical,1,Conn_Coaxial,
R23,R_0805_2012Metric,1,51k,
C63,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C30,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,0.1uF,
C50,C_0805_2012Metric,1,x7r 1u,
IC3,SOP65P490X110-8N,1,LTC6655BHMS8-4.096#PBF,
C29,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,0.1uF,
D5,D_SOD-323_HandSoldering,1,1n5819ws,
C68,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C52,CP_EIA-3216-18_Kemet-A,1,TAJA106K016RNJ,
JP6,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,sjp,
U5,SOT-223-3_TabPin2,1,AP1117-ADJ,
C22,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,4.7uF,
C71,CP_EIA-3528-12_Kemet-T,1,tant 10uF,
C18,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,4.7uF,
C37,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,1uF,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,LM285D-2.5,
R30,R_0805_2012Metric,1,0,
JP10,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,sjp,
C81,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,THS4281,
C53,CP_EIA-3216-18_Kemet-A,1,TAJA106K016RNJ,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA388,
C6,CP_EIA-3528-12_Kemet-T,1,C_Polarized,
R11,R_0805_2012Metric,1,680,
C35,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,0.1uF,
C28,CP_EIA-3528-12_Kemet-T,1,tant 10uF,
C45,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
J9,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
R8,R_0805_2012Metric,1,10k,
R1,R_0805_2012Metric,1,1k,
J3,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial,
C31,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,4.7uF,
C40,CP_EIA-3528-12_Kemet-T,1,TAJA106K016RNJ,
C64,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
U10,SOT-223-3_TabPin2,1,AMS1117-3.3,
C15,CP_EIA-3528-12_Kemet-T,1,C_Polarized,
IC2,SOIC127P600X175-8N,1,THS4521IDR,
C83,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
R19,R_0805_2012Metric,1,330,
R3,R_0805_2012Metric,1,10k,
C14,CP_EIA-3528-12_Kemet-T,1,C_Polarized,
R24,R_0805_2012Metric,1,100k,
C26,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,0.1uF,
R25,R_0805_2012Metric,1,330,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,sjp,
J4,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial,
C76,C_0805_2012Metric,1,560pF C0G,
C67,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C8,C_0805_2012Metric,1,0.1u,
C44,C_0805_2012Metric,1,1uF,
J6,SMA_Amphenol_132134_Vertical,1,Conn_Coaxial,
C27,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,1uF,
R28,R_0805_2012Metric,1,10,
J8,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
C43,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
H3,MountingHole_3.7mm,1,MountingHole,
C69,CP_EIA-3528-12_Kemet-T,1,tant 10uF,
R13,R_0805_2012Metric,1,680,
C32,CP_EIA-3528-12_Kemet-T,1,tant 10uF,
JP7,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,sjp,
H2,MountingHole_3.7mm,1,MountingHole,
R34,R_0805_2012Metric,1,390,
C17,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,4.7uF,
C21,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,0.1uF,
U9,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,LT3042xMSE,
IC1,SOIC127P600X175-8N,1,THS4521IDR,
C34,CP_EIA-3528-12_Kemet-T,1,TAJA106K016RNJ,
R6,R_0805_2012Metric,1,560,
D4,D_SOD-323_HandSoldering,1,1n5819ws,
RV1,Potentiometer_Bourns_3224W_Vertical,1,dnp,
C2,C_1210_3225Metric,1,ECPU1C105MA5,
D3,D_SOD-323_HandSoldering,1,1n5819ws,
J10,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J2,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,Conn_01x04_Male,
R5,R_0805_2012Metric,1,0,
C25,CP_EIA-3528-12_Kemet-T,1,TAJA106K016RNJ,
C48,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,4.7uF,
C16,CP_EIA-3528-12_Kemet-T,1,C_Polarized,
R37,R_0805_2012Metric,1,1k,
JP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,sjp,
R18,R_0805_2012Metric,1,10,
C20,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,0.1uF,
H1,MountingHole_3.7mm_Pad_Via,1,MountingHole_Pad,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,sjp,
R32,R_0805_2012Metric,1,560,
JP9,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,sjp,
C39,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
R21,R_0805_2012Metric,1,1k,
C42,C_0805_2012Metric,1,10n C0G,
R29,R_0805_2012Metric,1,10,
C46,C_0805_2012Metric,1,4.7nF C0G,
R38,R_0805_2012Metric,1,10,
C51,CP_EIA-3528-12_Kemet-T,1,TAJA106K016RNJ,
C49,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,0.1uF,
R27,R_0805_2012Metric,1,680,
C4,C_1210_3225Metric,1,ECPU1C105MA5,
C62,C_0805_2012Metric,1,100pF,
C65,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
R12,R_0805_2012Metric,1,150,
C82,C_0805_2012Metric,1,1uF,
C24,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,0.1uF,
J11,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
D6,D_SOD-323_HandSoldering,1,1n5819ws,
C70,CP_EIA-3528-12_Kemet-T,1,tant 10uF,
R7,R_0805_2012Metric,1,330,
C5,C_0805_2012Metric,1,0.1u,
JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,sjp,
C61,C_0805_2012Metric,1,100pF,
C10,CP_EIA-3528-12_Kemet-T,1,C_Polarized,
C80,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C56,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,10nF C0G,
C60,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C74,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.22uF,
C59,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C75,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,10nF C0G,
C47,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.22uF,
C78,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
